Date,Open,High,Low,Close
02/11/2022,"123.54","123.54","123.54","123.54"
02/10/2022,"125.90","125.90","125.90","125.90"
02/09/2022,"128.12","128.12","128.12","128.12"
02/08/2022,"126.09","126.09","126.09","126.09"
02/07/2022,"124.91","124.91","124.91","124.91"
02/04/2022,"125.24","125.24","125.24","125.24"
02/03/2022,"124.38","124.38","124.38","124.38"
02/02/2022,"127.52","127.52","127.52","127.52"
02/01/2022,"126.74","126.74","126.74","126.74"
01/31/2022,"125.74","125.74","125.74","125.74"
01/28/2022,"123.05","123.05","123.05","123.05"
01/27/2022,"120.11","120.11","120.11","120.11"
01/26/2022,"120.99","120.99","120.99","120.99"
01/25/2022,"121.39","121.39","121.39","121.39"
01/24/2022,"123.05","123.05","123.05","123.05"
01/21/2022,"122.42","122.42","122.42","122.42"
01/20/2022,"124.87","124.87","124.87","124.87"
01/19/2022,"126.33","126.33","126.33","126.33"
01/18/2022,"127.62","127.62","127.62","127.62"
01/14/2022,"130.22","130.22","130.22","130.22"
01/13/2022,"130.16","130.16","130.16","130.16"
01/12/2022,"132.09","132.09","132.09","132.09"
