Date,Open,High,Low,Close,Volume
02/11/2022,"227.38","228.50","222.01","222.94","4,839,824"
02/10/2022,"228.16","231.81","226.14","227.35","3,511,241"
02/09/2022,"229.86","231.30","229.60","231.27","3,698,680"
02/08/2022,"225.27","228.05","224.48","227.57","3,075,478"
02/07/2022,"226.48","227.38","224.84","225.50","2,757,317"
02/04/2022,"224.83","227.99","223.32","226.07","3,585,291"
02/03/2022,"226.81","227.93","224.13","224.58","4,217,696"
02/02/2022,"229.89","230.44","227.99","230.05","4,048,246"
02/01/2022,"227.94","228.93","225.14","228.54","4,697,648"
01/31/2022,"222.09","226.95","221.22","226.81","5,306,436"
01/28/2022,"217.50","222.17","214.93","222.09","4,961,209"
01/27/2022,"220.81","222.40","215.90","216.75","5,791,524"
01/26/2022,"222.72","224.16","216.05","218.37","7,096,416"
01/25/2022,"219.10","222.02","215.64","219.22","6,600,378"
01/24/2022,"217.99","222.57","212.10","222.33","22,010,119"
01/21/2022,"224.62","226.09","220.83","220.91","8,582,608"
01/20/2022,"229.13","231.91","225.14","225.37","5,175,143"
01/19/2022,"231.22","232.16","227.90","228.03","4,868,091"
01/18/2022,"232.50","232.70","229.94","230.45","6,514,691"
01/14/2022,"233.50","235.13","232.31","235.02","3,829,926"
01/13/2022,"239.18","239.40","234.48","234.93","4,049,253"
01/12/2022,"239.04","239.85","237.31","238.42","4,033,137"
