Date,Open,High,Low,Close
02/11/2022,"108.53","108.53","108.53","108.53"
02/10/2022,"110.60","110.60","110.60","110.60"
02/09/2022,"112.55","112.55","112.55","112.55"
02/08/2022,"110.76","110.76","110.76","110.76"
02/07/2022,"109.74","109.74","109.74","109.74"
02/04/2022,"110.02","110.02","110.02","110.02"
02/03/2022,"109.27","109.27","109.27","109.27"
02/02/2022,"112.03","112.03","112.03","112.03"
02/01/2022,"111.34","111.34","111.34","111.34"
01/31/2022,"110.47","110.47","110.47","110.47"
01/28/2022,"108.12","108.12","108.12","108.12"
01/27/2022,"105.53","105.53","105.53","105.53"
01/26/2022,"106.29","106.29","106.29","106.29"
01/25/2022,"106.65","106.65","106.65","106.65"
01/24/2022,"108.11","108.11","108.11","108.11"
01/21/2022,"107.56","107.56","107.56","107.56"
01/20/2022,"109.72","109.72","109.72","109.72"
01/19/2022,"110.99","110.99","110.99","110.99"
01/18/2022,"112.12","112.12","112.12","112.12"
01/14/2022,"114.39","114.39","114.39","114.39"
01/13/2022,"114.34","114.34","114.34","114.34"
01/12/2022,"116.04","116.04","116.04","116.04"
